mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__criterion,param_clf__max_depth,param_clf__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.057435226440429685,0.007621846665174495,0.028322315216064452,0.00579241849784415,gini,3,2,"{'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 2}",0.27450980392156865,0.13636363636363635,0.4642857142857143,0.33962264150943394,0.3157894736842105,0.30611425395291275,0.10587610326322217,25,0.37438423645320196,0.358974358974359,0.463519313304721,0.4594594594594595,0.44339622641509435,0.41994671892136715,0.04427928530135653
0.05130891799926758,0.005490613582459883,0.0239469051361084,0.003760045613682945,gini,3,5,"{'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 5}",0.27450980392156865,0.13636363636363635,0.4642857142857143,0.33962264150943394,0.3157894736842105,0.30611425395291275,0.10587610326322217,25,0.37438423645320196,0.358974358974359,0.463519313304721,0.4594594594594595,0.44339622641509435,0.41994671892136715,0.04427928530135653
0.0540461540222168,0.0051261842272966995,0.02632594108581543,0.003559701729986273,gini,3,10,"{'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 10}",0.27450980392156865,0.13636363636363635,0.4642857142857143,0.33962264150943394,0.3157894736842105,0.30611425395291275,0.10587610326322217,25,0.37438423645320196,0.358974358974359,0.463519313304721,0.4594594594594595,0.44339622641509435,0.41994671892136715,0.04427928530135653
0.061339282989501955,0.006136478349589033,0.025985193252563477,0.003902975294526157,gini,5,2,"{'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_split': 2}",0.2545454545454545,0.32142857142857145,0.47761194029850745,0.3389830508474576,0.45714285714285713,0.36994237485256964,0.08464653273094928,2,0.6129032258064516,0.6387832699619772,0.6212121212121212,0.6220472440944882,0.6434108527131783,0.6276713427576434,0.011512223129056497
0.051026105880737305,0.0033217124983288067,0.02161993980407715,0.002321414955854778,gini,5,5,"{'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_split': 5}",0.2545454545454545,0.32142857142857145,0.47761194029850745,0.3389830508474576,0.4507042253521127,0.36865464849442076,0.08334919160428947,5,0.6072874493927125,0.6335877862595419,0.6188679245283019,0.6220472440944882,0.6303501945525292,0.6224281197655148,0.009266686364938301
0.05247740745544434,0.007097263797806425,0.022571468353271486,0.0029310206356291182,gini,5,10,"{'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_split': 10}",0.25,0.32727272727272727,0.47761194029850745,0.3389830508474576,0.4507042253521127,0.368914388754161,0.08399438063948184,4,0.592,0.623574144486692,0.6188679245283019,0.616600790513834,0.627906976744186,0.6157899672546028,0.01251806000515039
0.054552745819091794,0.0035203356911744925,0.022277259826660158,0.0019107485842725033,gini,7,2,"{'clf__criterion': 'gini', 'clf__max_depth': 7, 'clf__min_samples_split': 2}",0.3225806451612903,0.3384615384615385,0.46875,0.3125,0.3076923076923077,0.3499968982630273,0.06030374846515618,15,0.7984790874524715,0.8,0.7890625,0.8134328358208955,0.744,0.7889948846546734,0.023802606330394376
0.05686254501342773,0.007390782232822199,0.022722673416137696,0.004575160691560542,gini,7,5,"{'clf__criterion': 'gini', 'clf__max_depth': 7, 'clf__min_samples_split': 5}",0.3225806451612903,0.3384615384615385,0.45454545454545453,0.25,0.34285714285714286,0.3416889562050852,0.06560543017756935,19,0.7846153846153846,0.7883211678832117,0.765625,0.8029739776951673,0.7206477732793523,0.7724366606946231,0.028501418195186187
0.06516842842102051,0.01934282195659876,0.02018437385559082,0.003454196820379321,gini,7,10,"{'clf__criterion': 'gini', 'clf__max_depth': 7, 'clf__min_samples_split': 10}",0.32786885245901637,0.3384615384615385,0.4375,0.2413793103448276,0.38461538461538464,0.3459650171761534,0.06510675453046011,18,0.7480916030534351,0.7407407407407407,0.7016129032258065,0.7230769230769231,0.694980694980695,0.72170057301552,0.020872829960188386
0.0600776195526123,0.010952477252312704,0.023953342437744142,0.008650069157896765,gini,9,2,"{'clf__criterion': 'gini', 'clf__max_depth': 9, 'clf__min_samples_split': 2}",0.3548387096774194,0.30985915492957744,0.43243243243243246,0.3235294117647059,0.40540540540540543,0.3652130228419081,0.04699590863204006,8,0.9333333333333333,0.89198606271777,0.9181494661921709,0.8864468864468864,0.910394265232975,0.9080620027846271,0.017155090306703293
0.06157078742980957,0.0128999528185293,0.027163314819335937,0.010512794536834508,gini,9,5,"{'clf__criterion': 'gini', 'clf__max_depth': 9, 'clf__min_samples_split': 5}",0.3384615384615385,0.30985915492957744,0.43243243243243246,0.29850746268656714,0.4367816091954023,0.36320843954110354,0.05974904881641822,10,0.8992805755395683,0.8710801393728222,0.8833922261484098,0.835820895522388,0.8664259927797834,0.8711999658725944,0.02103166967327111
0.056529664993286134,0.00845663992277375,0.02065749168395996,0.002671642127909451,gini,9,10,"{'clf__criterion': 'gini', 'clf__max_depth': 9, 'clf__min_samples_split': 10}",0.4,0.28169014084507044,0.46153846153846156,0.23728813559322035,0.4367816091954023,0.3634596694344309,0.0882454121485171,9,0.8439716312056738,0.8028673835125448,0.7777777777777778,0.735632183908046,0.7859649122807018,0.7892427777369487,0.03520557819789988
0.06580772399902343,0.011245114728387563,0.018275022506713867,0.0015701282983035568,gini,,2,"{'clf__criterion': 'gini', 'clf__max_depth': None, 'clf__min_samples_split': 2}",0.3333333333333333,0.273972602739726,0.49382716049382713,0.2777777777777778,0.4050632911392405,0.3567948330967809,0.08338028740344046,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07201247215270996,0.013339048380198351,0.02744598388671875,0.008957741115020628,gini,,5,"{'clf__criterion': 'gini', 'clf__max_depth': None, 'clf__min_samples_split': 5}",0.29850746268656714,0.2702702702702703,0.43037974683544306,0.25,0.43037974683544306,0.33590744532554473,0.0786601781311844,23,0.9411764705882353,0.9570957095709571,0.9403973509933775,0.9283276450511946,0.9368770764119602,0.9407748505231449,0.00934665514195302
0.093310546875,0.021212608931909262,0.02464141845703125,0.008476743142605568,gini,,10,"{'clf__criterion': 'gini', 'clf__max_depth': None, 'clf__min_samples_split': 10}",0.34285714285714286,0.2894736842105263,0.45714285714285713,0.2222222222222222,0.42696629213483145,0.34773243971351603,0.08650931582031178,17,0.8805460750853242,0.8620689655172413,0.8113879003558719,0.7692307692307693,0.8305647840531561,0.8307596988484726,0.03903861469532203
0.06792192459106446,0.01185072744041038,0.03550267219543457,0.015234743077368747,entropy,3,2,"{'clf__criterion': 'entropy', 'clf__max_depth': 3, 'clf__min_samples_split': 2}",0.27450980392156865,0.13636363636363635,0.4642857142857143,0.2222222222222222,0.3157894736842105,0.2826341700954704,0.1088184133982158,28,0.37438423645320196,0.37254901960784315,0.463519313304721,0.19883040935672514,0.44339622641509435,0.37053584102751713,0.09322679891120744
0.05609230995178223,0.01447445475018488,0.026404809951782227,0.010450484040268394,entropy,3,5,"{'clf__criterion': 'entropy', 'clf__max_depth': 3, 'clf__min_samples_split': 5}",0.27450980392156865,0.13636363636363635,0.4642857142857143,0.2222222222222222,0.3157894736842105,0.2826341700954704,0.1088184133982158,28,0.37438423645320196,0.37254901960784315,0.463519313304721,0.19883040935672514,0.44339622641509435,0.37053584102751713,0.09322679891120744
